Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
The Monk and Class Marks,the-monk-and-class-marks,...,,https://www.hackerearth.com/problem/algorithm/the-monk-and-class-marks/,Hackerearth,"                    Easy, Ad-Hoc",,
Monk's Birthday Party,monks-birthday-party,...,,https://www.hackerearth.com/problem/algorithm/monks-birthday-party/,Hackerearth,"                    Easy, HashMap",,
Monk and his Friends,monk-and-his-friends,...,,https://www.hackerearth.com/problem/algorithm/monk-and-his-friends/,Hackerearth,"                    Easy, Binary Search Tree",,
Table coloring,table-coloring,...,,https://www.hackerearth.com/problem/approximate/table-coloring/,Hackerearth,"                    Challenge, Implementation, Brute Force, Data Structures",,
Hard job,hard-job,...,,https://www.hackerearth.com/problem/algorithm/hard-job/,Hackerearth,"                    Hard, Data Structures, Fenwick Tree, Segment Trees",,
K-Distribution,k-distribution,...,,https://www.hackerearth.com/problem/algorithm/k-distribution/,Hackerearth,"                    Hard, Combinatorics, Dynamic Programming, Number Theory, Math",,
DigIT,digit,...,,https://www.hackerearth.com/problem/algorithm/digit/,Hackerearth,"                    Dynamic Programming, Number Theory, Hard, Brute Force, Combinatorics",,
Good points,good-points,...,,https://www.hackerearth.com/problem/algorithm/good-points/,Hackerearth,"                    Easy-Medium, Ad-Hoc, Geometry, Implementation, Math",,
Escape v2.0 — a quest to ...,escape-v20-a-quest-to-enrich-existing-game-2,...,,https://www.hackerearth.com/problem/frontend/escape-v20-a-quest-to-enrich-existing-game-2/,Hackerearth,                    ,,
The Confused Monk,the-confused-monk,...,,https://www.hackerearth.com/problem/algorithm/the-confused-monk/,Hackerearth,"                    Easy, Math, Modular exponentiation, Number Theory",,
Chandu and his Interns,chandu-and-his-interns,...,,https://www.hackerearth.com/problem/algorithm/chandu-and-his-interns/,Hackerearth,"                    Number Theory, Math, Easy",,
The Magical Shop,the-magical-shop,...,,https://www.hackerearth.com/problem/algorithm/the-magical-shop/,Hackerearth,"                    Ad-Hoc, Easy, Math",,
